1374;OPEN;ComparingByMembers<object> lets structural equality assertions always succeed;enhancement, up-for-grabs;2020-10-02T15:44:45Z
1340;OPEN;Capture design guidelines, principles and patterns;documentation;2023-04-13T07:47:52Z
1304;OPEN;WhenTypesAre;;2020-06-28T11:04:16Z
1249;OPEN;BeEquivalentTo option ThrowingOnMissingMembers does not work as expected;enhancement;2021-09-26T07:48:15Z
1247;OPEN;Feature request: make a version from string BeEquivalentTo which ignores \n <> \r\n;feature, api-suggestion;2023-10-04T05:40:36Z
1240;OPEN;Idea: compare two strings regardless of whitespace;;2020-01-25T19:30:07Z
1216;OPEN;Create a version of `SatisfyRespectively` that ignores order;api-suggestion;2023-10-28T18:55:29Z
1213;OPEN;Add support for `IAsyncEnumerable<T>`;feature, api-suggestion;2023-12-07T09:00:30Z
1161;OPEN;Enable dynamical ordering verification;up-for-grabs, api-suggestion;2023-10-28T18:53:29Z
1136;OPEN;Dictionary equivalence fails for reference type keys;enhancement, documentation, up-for-grabs;2021-05-02T07:16:48Z
1115;OPEN;Support c# 8 nullable reference;feature;2023-10-13T07:49:01Z
1099;OPEN;DateTimeOffset?.Should().BeCloseTo(...);enhancement;2023-09-11T18:16:27Z
1074;OPEN;Workaround for ReSharper regarding `ShouldNotBeNull()`;enhancement, up-for-grabs;2023-11-01T07:18:35Z
1068;OPEN;Mutation testing;;2022-08-21T19:53:18Z
1058;OPEN;Improving Jetbrains.Annotations used;;2019-05-30T15:05:01Z
1039;OPEN;Missing null checks;enhancement, up-for-grabs;2021-06-03T06:47:28Z
1036;OPEN;BeEquivalentTo and NotBeEquivalentTo consistency;bug, enhancement;2019-09-17T05:18:59Z
993;OPEN;FluentAssertions package is not Authenticode signed;enhancement, up-for-grabs;2023-10-31T20:48:08Z
985;OPEN;collection Should().BeEquivalentTo() vs position of first difference;enhancement, up-for-grabs;2023-10-28T18:48:21Z
913;OPEN;AssertionScope.FailWith can't be told not to unescape line breaks;enhancement;2023-10-28T18:47:49Z
902;OPEN;Add support for Span and ReadOnlySpan;feature, future, api-suggestion;2022-09-05T19:06:52Z
871;OPEN;Error message generation does not work very well for throw cases;enhancement;2020-05-21T08:05:45Z
868;OPEN;Should().Throw - Original exception doesn't be included in InnerException;requires-clarification;2022-04-16T08:20:19Z
860;OPEN;Object graph comparison is broken when type implements IEnumerable?;enhancement, up-for-grabs;2021-05-22T08:32:55Z
814;OPEN;Website Enhancements;documentation;2022-03-20T08:24:45Z
811;OPEN;`AndConstraint` not running on the same AssertionScope is potentially misleading;enhancement;2020-01-01T17:27:18Z
798;OPEN;Add an option to BeEquivalentTo that compares types of objects recursively.;enhancement;2023-05-29T13:03:57Z
699;OPEN;Enable Custom Comparer for IEnumerable<T>.Should().Contain()/NotContain();enhancement;2023-01-21T14:31:40Z
698;OPEN;Support for DebuggerDisplayAttribute for Formatting Instances in Error Messsages;enhancement, up-for-grabs;2018-03-15T19:13:31Z
670;OPEN;Failure reason can be hard to find when asserting a collection is ordered using Func;enhancement;2018-01-20T16:35:22Z
512;OPEN;Confusing CallStack when using Fluent Assertions;enhancement, up-for-grabs;2023-10-28T18:40:50Z
453;OPEN;JTokenAssertions.BeEquivalentTo should format the JSON document in a more readable fashion;enhancement, up-for-grabs;2016-08-02T18:32:13Z
423;OPEN;Single-line fluent API for asserting an `event` has been raised;enhancement;2022-03-20T08:06:00Z
393;OPEN;ShouldRaisePropertyChangedFor followed by Count behaves unexpectedly (solution here);enhancement, up-for-grabs;2023-10-28T18:36:01Z
378;OPEN;BeEquivalentTo is unhelpful when comparing collections with differencing lengths;enhancement;2022-03-20T08:04:05Z
